District,S.No.,Parameters,Type,April - Total [(A+B) or (C+D)],April - Public [A],April - Private [B],April - Urban [C],April - Rural [D],May - Total [(A+B) or (C+D)],May - Public [A],May - Private [B],May - Urban [C],May - Rural [D],June - Total [(A+B) or (C+D)],June - Public [A],June - Private [B],June - Urban [C],June - Rural [D],July - Total [(A+B) or (C+D)],July - Public [A],July - Private [B],July - Urban [C],July - Rural [D],August - Total [(A+B) or (C+D)],August - Public [A],August - Private [B],August - Urban [C],August - Rural [D],September - Total [(A+B) or (C+D)],September - Public [A],September - Private [B],September - Urban [C],September - Rural [D],October - Total [(A+B) or (C+D)],October - Public [A],October - Private [B],October - Urban [C],October - Rural [D],November - Total [(A+B) or (C+D)],November - Public [A],November - Private [B],November - Urban [C],November - Rural [D],December - Total [(A+B) or (C+D)],December - Public [A],December - Private [B],December - Urban [C],December - Rural [D],January - Total [(A+B) or (C+D)],January - Public [A],January - Private [B],January - Urban [C],January - Rural [D],February - Total [(A+B) or (C+D)],February - Public [A],February - Private [B],February - Urban [C],February - Rural [D],March - Total [(A+B) or (C+D)],March - Public [A],March - Private [B],March - Urban [C],March - Rural [D],Total - Total [(A+B) or (C+D)],Total - Public [A],Total - Private [B],Total - Urban [C],Total - Rural [D]
Kamrup R,17.4',Vaccine - TT,2. Stocks Received,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Kamrup R,17.4',Vaccine - TT,3. Unusable Stock,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Kamrup R,17.4',Vaccine - TT,4. Stock Distributed,30,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,30,NA,NA,NA,NA
Kamrup R,17.4',Vaccine - TT,5. Total Stock,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Kamrup R,'17.5',Vaccine - DT,1. Balance From Previous Month,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Kamrup R,17.5',Vaccine - DT,2. Stocks Received,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Kamrup R,17.5',Vaccine - DT,3. Unusable Stock,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Kamrup R,17.5',Vaccine - DT,4. Stock Distributed,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Kamrup R,17.5',Vaccine - DT,5. Total Stock,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Kamrup R,'17.6',Vaccine - BCG,1. Balance From Previous Month,9650,NA,NA,NA,NA,15200,NA,NA,NA,NA,12600,NA,NA,NA,NA,7900,NA,NA,NA,NA,17450,NA,NA,NA,NA,11150,NA,NA,NA,NA,4840,NA,NA,NA,NA,9240,NA,NA,NA,NA,7040,NA,NA,NA,NA,8340,NA,NA,NA,NA,12900,NA,NA,NA,NA,7010,NA,NA,NA,NA,123320,NA,NA,NA,NA
Kamrup R,17.6',Vaccine - BCG,2. Stocks Received,10000,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,14000,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,11000,NA,NA,NA,NA,4000,NA,NA,NA,NA,6600,NA,NA,NA,NA,4600,NA,NA,NA,NA,260,NA,NA,NA,NA,6000,NA,NA,NA,NA,56460,NA,NA,NA,NA
Kamrup R,17.6',Vaccine - BCG,3. Unusable Stock,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Kamrup R,17.6',Vaccine - BCG,4. Stock Distributed,4450,NA,NA,NA,NA,2600,NA,NA,NA,NA,4700,NA,NA,NA,NA,4450,NA,NA,NA,NA,6300,NA,NA,NA,NA,6310,NA,NA,NA,NA,6600,NA,NA,NA,NA,6200,NA,NA,NA,NA,5300,NA,NA,NA,NA,0,NA,NA,NA,NA,6150,NA,NA,NA,NA,4960,NA,NA,NA,NA,58020,NA,NA,NA,NA
Kamrup R,17.6',Vaccine - BCG,5. Total Stock,15200,NA,NA,NA,NA,12600,NA,NA,NA,NA,7900,NA,NA,NA,NA,17450,NA,NA,NA,NA,11150,NA,NA,NA,NA,4840,NA,NA,NA,NA,9240,NA,NA,NA,NA,7040,NA,NA,NA,NA,8340,NA,NA,NA,NA,12940,NA,NA,NA,NA,7010,NA,NA,NA,NA,8050,NA,NA,NA,NA,121760,NA,NA,NA,NA
Kamrup R,'17.7',Vaccine - Measles,1. Balance From Previous Month,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Kamrup R,17.7',Vaccine - Measles,2. Stocks Received,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Kamrup R,17.7',Vaccine - Measles,3. Unusable Stock,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Kamrup R,17.7',Vaccine - Measles,4. Stock Distributed,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Kamrup R,17.7',Vaccine - Measles,5. Total Stock,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Kamrup R,'17.8',Vaccine - JE,1. Balance From Previous Month,425,NA,NA,NA,NA,10,NA,NA,NA,NA,1485,NA,NA,NA,NA,10,NA,NA,NA,NA,11930,NA,NA,NA,NA,1855,NA,NA,NA,NA,5,NA,NA,NA,NA,2505,NA,NA,NA,NA,30,NA,NA,NA,NA,5805,NA,NA,NA,NA,32255,NA,NA,NA,NA,20960,NA,NA,NA,NA,77275,NA,NA,NA,NA
Kamrup R,17.8',Vaccine - JE,2. Stocks Received,0,NA,NA,NA,NA,6000,NA,NA,NA,NA,0,NA,NA,NA,NA,16900,NA,NA,NA,NA,2800,NA,NA,NA,NA,0,NA,NA,NA,NA,8800,NA,NA,NA,NA,0,NA,NA,NA,NA,17650,NA,NA,NA,NA,26450,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,78600,NA,NA,NA,NA
Kamrup R,17.8',Vaccine - JE,3. Unusable Stock,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Kamrup R,17.8',Vaccine - JE,4. Stock Distributed,415,NA,NA,NA,NA,4525,NA,NA,NA,NA,1475,NA,NA,NA,NA,4980,NA,NA,NA,NA,12875,NA,NA,NA,NA,1850,NA,NA,NA,NA,6300,NA,NA,NA,NA,2475,NA,NA,NA,NA,11875,NA,NA,NA,NA,0,NA,NA,NA,NA,11295,NA,NA,NA,NA,8050,NA,NA,NA,NA,66115,NA,NA,NA,NA
Kamrup R,17.8',Vaccine - JE,5. Total Stock,10,NA,NA,NA,NA,1485,NA,NA,NA,NA,10,NA,NA,NA,NA,11930,NA,NA,NA,NA,1855,NA,NA,NA,NA,5,NA,NA,NA,NA,2505,NA,NA,NA,NA,30,NA,NA,NA,NA,5805,NA,NA,NA,NA,32255,NA,NA,NA,NA,20960,NA,NA,NA,NA,12910,NA,NA,NA,NA,89760,NA,NA,NA,NA
Kamrup R,'17.9',Vaccine - Hepatitis B,1. Balance From Previous Month,80,NA,NA,NA,NA,460,NA,NA,NA,NA,5750,NA,NA,NA,NA,4290,NA,NA,NA,NA,3550,NA,NA,NA,NA,3810,NA,NA,NA,NA,5790,NA,NA,NA,NA,4470,NA,NA,NA,NA,4730,NA,NA,NA,NA,3620,NA,NA,NA,NA,5520,NA,NA,NA,NA,4270,NA,NA,NA,NA,46340,NA,NA,NA,NA
Kamrup R,17.9',Vaccine - Hepatitis B,2. Stocks Received,1700,NA,NA,NA,NA,5900,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,2000,NA,NA,NA,NA,3000,NA,NA,NA,NA,0,NA,NA,NA,NA,2100,NA,NA,NA,NA,0,NA,NA,NA,NA,1900,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,16600,NA,NA,NA,NA
Kamrup R,17.9',Vaccine - Hepatitis B,3. Unusable Stock,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Kamrup R,17.9',Vaccine - Hepatitis B,4. Stock Distributed,1320,NA,NA,NA,NA,610,NA,NA,NA,NA,1460,NA,NA,NA,NA,740,NA,NA,NA,NA,1740,NA,NA,NA,NA,1020,NA,NA,NA,NA,1320,NA,NA,NA,NA,1840,NA,NA,NA,NA,1110,NA,NA,NA,NA,0,NA,NA,NA,NA,1250,NA,NA,NA,NA,1280,NA,NA,NA,NA,13690,NA,NA,NA,NA
Kamrup R,17.9',Vaccine - Hepatitis B,5. Total Stock,460,NA,NA,NA,NA,5750,NA,NA,NA,NA,4290,NA,NA,NA,NA,3550,NA,NA,NA,NA,3810,NA,NA,NA,NA,5790,NA,NA,NA,NA,4470,NA,NA,NA,NA,4730,NA,NA,NA,NA,3620,NA,NA,NA,NA,5520,NA,NA,NA,NA,4270,NA,NA,NA,NA,2990,NA,NA,NA,NA,49250,NA,NA,NA,NA
Kamrup R,'17.10',Vaccine - Typhoid,1. Balance From Previous Month,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Kamrup R,17.10',Vaccine - Typhoid,2. Stocks Received,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Kamrup R,17.10',Vaccine - Typhoid,3. Unusable Stock,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Kamrup R,17.10',Vaccine - Typhoid,4. Stock Distributed,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Kamrup R,17.10',Vaccine - Typhoid,5. Total Stock,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Kamrup R,'17.11',Vaccine - Vitamin K,1. Balance From Previous Month,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Kamrup R,17.11',Vaccine - Vitamin K,2. Stocks Received,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Kamrup R,17.11',Vaccine - Vitamin K,3. Unusable Stock,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Kamrup R,17.11',Vaccine - Vitamin K,4. Stock Distributed,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Kamrup R,17.11',Vaccine - Vitamin K,5. Total Stock,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Kamrup R,'17.12',Rotavirus,1. Balance From Previous Month,2740,NA,NA,NA,NA,4320,NA,NA,NA,NA,14700,NA,NA,NA,NA,3610,NA,NA,NA,NA,10030,NA,NA,NA,NA,5410,NA,NA,NA,NA,210,NA,NA,NA,NA,7380,NA,NA,NA,NA,1730,NA,NA,NA,NA,0,NA,NA,NA,NA,3600,NA,NA,NA,NA,5190,NA,NA,NA,NA,58920,NA,NA,NA,NA
Kamrup R,17.12',Rotavirus,2. Stocks Received,8100,NA,NA,NA,NA,15900,NA,NA,NA,NA,0,NA,NA,NA,NA,16500,NA,NA,NA,NA,10950,NA,NA,NA,NA,0,NA,NA,NA,NA,17700,NA,NA,NA,NA,7800,NA,NA,NA,NA,4200,NA,NA,NA,NA,3600,NA,NA,NA,NA,11100,NA,NA,NA,NA,9900,NA,NA,NA,NA,105750,NA,NA,NA,NA
Kamrup R,17.12',Rotavirus,3. Unusable Stock,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Kamrup R,17.12',Rotavirus,4. Stock Distributed,6520,NA,NA,NA,NA,5470,NA,NA,NA,NA,11140,NA,NA,NA,NA,10080,NA,NA,NA,NA,15570,NA,NA,NA,NA,5200,NA,NA,NA,NA,10530,NA,NA,NA,NA,14350,NA,NA,NA,NA,5930,NA,NA,NA,NA,0,NA,NA,NA,NA,9510,NA,NA,NA,NA,11490,NA,NA,NA,NA,105790,NA,NA,NA,NA
Kamrup R,17.12',Rotavirus,5. Total Stock,4320,NA,NA,NA,NA,14750,NA,NA,NA,NA,3610,NA,NA,NA,NA,10030,NA,NA,NA,NA,5410,NA,NA,NA,NA,210,NA,NA,NA,NA,7380,NA,NA,NA,NA,1730,NA,NA,NA,NA,0,NA,NA,NA,NA,3600,NA,NA,NA,NA,5190,NA,NA,NA,NA,3600,NA,NA,NA,NA,59830,NA,NA,NA,NA
Kamrup R,'17.13',Inactivated Polio Vaccine,1. Balance From Previous Month,2225,NA,NA,NA,NA,275,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,19475,NA,NA,NA,NA,19775,NA,NA,NA,NA,10250,NA,NA,NA,NA,12400,NA,NA,NA,NA,5925,NA,NA,NA,NA,125,NA,NA,NA,NA,8925,NA,NA,NA,NA,2350,NA,NA,NA,NA,81725,NA,NA,NA,NA
Kamrup R,17.13',Inactivated Polio Vaccine,2. Stocks Received,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,31850,NA,NA,NA,NA,15050,NA,NA,NA,NA,0,NA,NA,NA,NA,9725,NA,NA,NA,NA,4400,NA,NA,NA,NA,0,NA,NA,NA,NA,8800,NA,NA,NA,NA,2500,NA,NA,NA,NA,13200,NA,NA,NA,NA,85525,NA,NA,NA,NA
Kamrup R,17.13',Inactivated Polio Vaccine,3. Unusable Stock,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Kamrup R,17.13',Inactivated Polio Vaccine,4. Stock Distributed,1950,NA,NA,NA,NA,275,NA,NA,NA,NA,0,NA,NA,NA,NA,12375,NA,NA,NA,NA,14750,NA,NA,NA,NA,9525,NA,NA,NA,NA,7575,NA,NA,NA,NA,10875,NA,NA,NA,NA,5800,NA,NA,NA,NA,0,NA,NA,NA,NA,9075,NA,NA,NA,NA,6825,NA,NA,NA,NA,79025,NA,NA,NA,NA
Kamrup R,17.13',Inactivated Polio Vaccine,5. Total Stock,275,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,19475,NA,NA,NA,NA,19775,NA,NA,NA,NA,10250,NA,NA,NA,NA,12400,NA,NA,NA,NA,5925,NA,NA,NA,NA,125,NA,NA,NA,NA,8925,NA,NA,NA,NA,2350,NA,NA,NA,NA,8725,NA,NA,NA,NA,88225,NA,NA,NA,NA
Kamrup R,'17.14',Measles Rubella (MR),1. Balance From Previous Month,3600,NA,NA,NA,NA,24500,NA,NA,NA,NA,17350,NA,NA,NA,NA,8050,NA,NA,NA,NA,8400,NA,NA,NA,NA,2300,NA,NA,NA,NA,6450,NA,NA,NA,NA,7050,NA,NA,NA,NA,4500,NA,NA,NA,NA,1460,NA,NA,NA,NA,8460,NA,NA,NA,NA,6000,NA,NA,NA,NA,98120,NA,NA,NA,NA
Kamrup R,17.14',Measles Rubella (MR),2. Stocks Received,26000,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,8000,NA,NA,NA,NA,8000,NA,NA,NA,NA,14700,NA,NA,NA,NA,12000,NA,NA,NA,NA,10000,NA,NA,NA,NA,6000,NA,NA,NA,NA,7000,NA,NA,NA,NA,6000,NA,NA,NA,NA,10000,NA,NA,NA,NA,107700,NA,NA,NA,NA
Kamrup R,17.14',Measles Rubella (MR),3. Unusable Stock,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Kamrup R,17.14',Measles Rubella (MR),4. Stock Distributed,5100,NA,NA,NA,NA,7150,NA,NA,NA,NA,9300,NA,NA,NA,NA,7650,NA,NA,NA,NA,14100,NA,NA,NA,NA,10550,NA,NA,NA,NA,11400,NA,NA,NA,NA,12550,NA,NA,NA,NA,9040,NA,NA,NA,NA,0,NA,NA,NA,NA,8460,NA,NA,NA,NA,9000,NA,NA,NA,NA,104300,NA,NA,NA,NA
Kamrup R,17.14',Measles Rubella (MR),5. Total Stock,24500,NA,NA,NA,NA,17350,NA,NA,NA,NA,8050,NA,NA,NA,NA,8400,NA,NA,NA,NA,2300,NA,NA,NA,NA,6450,NA,NA,NA,NA,7050,NA,NA,NA,NA,4500,NA,NA,NA,NA,1460,NA,NA,NA,NA,8460,NA,NA,NA,NA,6000,NA,NA,NA,NA,7000,NA,NA,NA,NA,101520,NA,NA,NA,NA
Kamrup R,'18.1',IUD 380 A,1. Balance From Previous Month,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Kamrup R,18.1',IUD 380 A,2. Stocks Received,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Kamrup R,18.1',IUD 380 A,3. Unusable Stock,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Kamrup R,18.1',IUD 380 A,4. Stock Distributed,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Kamrup R,18.1',IUD 380 A,5. Total Stock,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Kamrup R,'18.2',IUD 375 A,1. Balance From Previous Month,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
Kamrup R,18.2',IUD 375 A,2. Stocks Received,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA
